省份,城市,经济权重
广西壮族自治区,河池市,1.5
广西壮族自治区,来宾市,1.5
广西壮族自治区,崇左市,1.5
西藏自治区,拉萨市,0.7
西藏自治区,日喀则市,0.7
西藏自治区,昌都市,0.7
西藏自治区,林芝市,0.7
西藏自治区,山南市,0.7
西藏自治区,,0.7
西藏自治区,阿里地区,0.7
宁夏回族自治区,银川市,1.0
宁夏回族自治区,石嘴山市,1.0
宁夏回族自治区,吴忠市,1.0
宁夏回族自治区,固原市,1.0
宁夏回族自治区,中卫市,1.0
新疆维吾尔自治区,乌鲁木齐市,0.7
新疆维吾尔自治区,克拉玛依市,0.7
新疆维吾尔自治区,吐鲁番市,0.7
新疆维吾尔自治区,哈密市,0.7
新疆维吾尔自治区,喀什市,0.7
新疆维吾尔自治区,阿克苏市,0.7
新疆维吾尔自治区,和田市,0.7
新疆维吾尔自治区,,0.7
新疆维吾尔自治区,博尔塔拉蒙古自治州,0.7
新疆维吾尔自治区,巴音郭楞蒙古自治州,0.7
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,0.7
新疆维吾尔自治区,,0.7
新疆维吾尔自治区,塔城地区,0.7
新疆维吾尔自治区,阿勒泰地区,0.7
香港特别行政区,中西区,4.5
香港特别行政区,湾仔区,4.5
香港特别行政区,东区,4.5
香港特别行政区,南区,4.5
香港特别行政区,油尖旺区,4.5
香港特别行政区,深水埗区,4.5
香港特别行政区,九龙城区,4.5
香港特别行政区,,4.5
香港特别行政区,观塘区,4.5
香港特别行政区,荃湾区,4.5
香港特别行政区,屯门区,4.5
香港特别行政区,元朗区,4.5
香港特别行政区,北区,4.5
香港特别行政区,大埔区,4.5
香港特别行政区,西贡区,4.5
香港特别行政区,沙田区,4.5
香港特别行政区,葵青区,4.5
香港特别行政区,离岛区,4.5
澳门特别行政区,花地玛堂区,4.5
澳门特别行政区,圣安多尼堂区,4.5
澳门特别行政区,大堂区,4.5
澳门特别行政区,望德堂区,4.5
澳门特别行政区,风顺堂区,4.5
澳门特别行政区,嘉模堂区,4.5
澳门特别行政区,,4.5
澳门特别行政区,圣方济各堂区,4.5
澳门特别行政区,风顺堂区,4.5
宁夏回族自治区,中卫市,1.0
福建省,福州市,4.0
辽宁省,辽阳市,1.5
河北省,邯郸市,2.0
