用户ID,用户所在地,年龄,性别,权益
CUST_981671,铜川市,34,男,会员
CUST_913121,徐汇区,31,女,普通
CUST_763490,漯河市,34,女,会员
CUST_632627,武清区,46,女,会员
CUST_599770,昌都市,30,女,普通
CUST_716390,平谷区,35,女,会员
CUST_175394,通州区,50,男,会员
CUST_765170,高雄市,52,女,会员
CUST_691854,安庆市,31,,会员
CUST_127276,清远市,40,男,会员
CUST_992136,广元市,35,女,普通
CUST_677753,巴彦淖尔市,54,男,普通
CUST_505014,清远市,52,女,普通
CUST_619582,盘锦市,40,男,普通
CUST_911254,东方市,17,男,普通
CUST_972365,九龙城区,50,女,会员
CUST_808378,郑州市,49,男,普通
CUST_832344,临夏回族自治州,50,女,普通
CUST_781463,长寿区,47,男,普通
CUST_780438,石家庄市,7,女,普通
CUST_520527,果洛藏族自治州,53,女,会员
CUST_117246,忻州市,38,男,普通
CUST_814450,宁河区,50,女,普通
CUST_964631,张掖市,38,男,会员
CUST_738414,南区,42,男,会员
CUST_849082,临汾市,47,女,会员
CUST_526058,长春市,56,,普通
CUST_744853,新乡市,7,女,普通
CUST_947335,未知,47,女,普通
CUST_168112,铜梁区,62,女,会员
CUST_669591,河西区,38,男,普通
CUST_431639,静安区,54,女,普通
CUST_637377,辽阳市,39,女,会员
CUST_482606,铜梁区,50,女,会员
CUST_369060,随州市,43,男,普通
CUST_367052,阜新市,25,男,会员
CUST_990035,南京市,41,男,普通
CUST_707522,商洛市,44,男,普通
CUST_420037,葫芦岛市,49,女,会员
CUST_635225,白城市,47,男,普通
CUST_655215,西青区,7,女,普通
CUST_164782,运城市,46,男,普通
CUST_367337,荃湾区,32,男,会员
CUST_891655,玉溪市,36,男,普通
CUST_176533,青浦区,46,女,普通
CUST_484198,淮安市,44,男,会员
CUST_424593,涪陵区,40,女,会员
CUST_427288,黔东南苗族侗族自治州,42,女,会员
CUST_939795,北辰区,53,男,普通
CUST_632915,孝感市,41,男,会员
CUST_938642,拉萨市,29,女,普通
CUST_589306,山南市,43,男,会员
CUST_524248,鞍山市,35,男,普通
CUST_333640,金华市,43,男,普通
CUST_226707,崇左市,32,男,会员
CUST_358082,驻马店市,49,男,普通
CUST_332203,宿迁市,45,女,会员
CUST_382066,门头沟区,26,男,普通
CUST_877800,朝阳市,13,男,普通
CUST_786847,凉山彝族自治州,43,女,会员
CUST_838329,大同市,32,男,会员
CUST_973522,宁河区,60,男,会员
CUST_563783,鞍山市,28,女,普通
CUST_593933,鹤壁市,44,女,会员
CUST_625214,南阳市,59,男,会员
CUST_579962,新竹市,43,男,普通
CUST_990608,忻州市,55,男,会员
CUST_277713,南阳市,35,女,普通
CUST_805694,油尖旺区,45,女,会员
CUST_338269,九龙城区,23,男,普通
CUST_635560,本溪市,49,男,会员
CUST_764571,银川市,23,女,会员
CUST_353009,红河哈尼族彝族自治州,43,女,普通
CUST_220239,观塘区,23,男,普通
CUST_980439,石家庄市,45,男,普通
CUST_959700,南宁市,21,男,会员
CUST_670840,张家口市,53,女,普通
CUST_818491,濮阳市,20,男,普通
CUST_883603,北海市,33,女,会员
CUST_639810,张家界市,57,女,普通
CUST_381983,东方市,39,女,普通
CUST_804839,青浦区,7,男,普通
CUST_353874,南开区,34,男,普通
CUST_377630,徐州市,30,,会员
CUST_378768,大埔区,46,男,会员
CUST_499386,菏泽市,54,男,会员
CUST_492547,赣州市,40,女,普通
CUST_501409,晋中市,47,女,普通
CUST_819584,德州市,39,男,会员
CUST_801336,东营市,36,男,会员
CUST_785868,南宁市,46,女,普通
CUST_995391,苏州市,43,女,普通
CUST_405578,雅安市,47,男,会员
CUST_462525,柳州市,58,男,会员
CUST_439874,未知,41,男,普通
CUST_210421,茂名市,59,男,会员
CUST_596877,博尔塔拉蒙古自治州,40,女,会员
CUST_159324,荃湾区,45,男,普通
CUST_242844,汉中市,41,男,会员
CUST_946789,津南区,36,女,会员
CUST_840158,宁河区,42,女,会员
CUST_240726,平谷区,27,女,普通
CUST_950162,白银市,53,女,普通
CUST_523732,三明市,34,男,普通
CUST_421547,银川市,48,男,普通
CUST_991742,济源市,22,男,普通
CUST_535976,衡阳市,133,男,普通
CUST_438808,乌鲁木齐市,46,男,会员
CUST_782904,嘉定区,7,女,会员
CUST_617406,定西市,43,女,会员
CUST_295176,林芝市,133,女,普通
CUST_341637,遵义市,42,男,普通
CUST_433733,三明市,25,男,会员
CUST_703747,湖州市,26,男,普通
CUST_785144,大足区,52,女,会员
CUST_842455,玉溪市,43,女,普通
CUST_500372,本溪市,48,女,普通
CUST_325304,晋中市,29,男,普通
CUST_680530,阳泉市,32,女,普通
CUST_803254,兰州市,63,男,普通
CUST_265245,马鞍山市,45,男,会员
CUST_585423,安庆市,34,男,普通
CUST_277004,威海市,57,女,会员
CUST_452523,钦州市,32,男,普通
CUST_685569,枣庄市,39,女,会员
CUST_663720,基隆市,26,男,会员
CUST_536448,临夏回族自治州,36,女,会员
CUST_334610,宝坻区,22,男,会员
CUST_568775,吐鲁番市,37,女,普通
CUST_595191,和田市,44,女,普通
CUST_476492,新北市,24,女,会员
CUST_865176,西贡区,26,女,普通
CUST_782142,防城港市,27,男,会员
CUST_576239,防城港市,45,女,普通
CUST_429099,扬州市,52,男,会员
CUST_408461,静安区,29,女,会员
CUST_904798,宁波市,51,男,普通
CUST_959165,武清区,44,男,普通
CUST_681082,离岛区,37,男,会员
CUST_658814,阜阳市,49,女,会员
CUST_758306,新北市,43,女,普通
CUST_506538,博尔塔拉蒙古自治州,51,男,会员
CUST_231736,阜阳市,23,女,普通
CUST_634256,亳州市,42,男,普通
CUST_886529,张家界市,18,男,普通
CUST_608894,丽江市,56,女,普通
CUST_816485,六盘水市,43,女,会员
CUST_311562,榆林市,41,女,普通
CUST_979591,宁德市,40,女,普通
CUST_228331,达州市,27,男,会员
CUST_162132,陵水黎族自治县,39,女,会员
CUST_144622,定安县,33,女,会员
CUST_446052,黑河市,23,女,会员
CUST_512808,固原市,41,男,普通
CUST_866856,深水埗区,49,女,会员
CUST_497524,大连市,61,男,会员
CUST_832220,桂林市,30,女,会员
CUST_341944,乌海市,44,女,会员
CUST_314209,娄底市,57,男,会员
CUST_414853,通辽市,36,女,会员
CUST_757431,延边朝鲜族自治州,60,男,普通
CUST_880045,舟山市,50,男,会员
CUST_392136,黑河市,46,男,会员
CUST_174385,厦门市,23,女,普通
CUST_125940,白城市,42,女,普通
CUST_322489,沙坪坝区,35,男,普通
CUST_548476,东莞市,35,女,会员
CUST_978780,济宁市,33,男,会员
CUST_973698,葵青区,66,女,会员
CUST_711347,合川区,43,男,会员
CUST_769067,舟山市,47,男,会员
CUST_768406,来宾市,35,男,普通
CUST_697781,高雄市,35,男,会员
CUST_723697,玉林市,40,女,会员
CUST_238973,玉溪市,24,女,会员
CUST_949108,嘉模堂区,35,女,普通
CUST_674137,滨州市,31,男,会员
CUST_701230,青岛市,56,,会员
CUST_702254,宜宾市,37,男,普通
CUST_982040,未知,35,女,普通
CUST_973955,巴中市,35,男,普通
CUST_629644,抚顺市,50,女,会员
CUST_305564,西双版纳傣族自治州,52,女,普通
CUST_801017,张掖市,54,女,普通
CUST_920221,湾仔区,33,男,会员
CUST_714618,绵阳市,35,男,普通
CUST_105453,长治市,29,男,会员
CUST_734373,嘉兴市,42,男,普通
CUST_482129,永州市,32,男,会员
CUST_275520,武汉市,27,女,会员
CUST_217734,资阳市,43,男,会员
CUST_848983,铜梁区,28,女,普通
CUST_694182,福州市,40,女,普通
CUST_291645,吐鲁番市,48,女,会员
CUST_199721,哈密市,34,男,会员
CUST_780933,海北藏族自治州,42,男,普通
CUST_679531,万宁市,27,男,会员
CUST_790311,银川市,20,男,普通
CUST_489375,甘孜藏族自治州,33,女,会员
CUST_840608,淮安市,44,女,会员
CUST_266218,攀枝花市,23,男,普通
CUST_964532,湘潭市,53,男,普通
CUST_509976,岳阳市,32,女,会员
CUST_626302,忻州市,43,女,会员
CUST_653360,双鸭山市,42,女,普通
CUST_234219,荆门市,17,男,普通
CUST_686397,滨海新区,23,女,会员
CUST_898842,襄阳市,29,女,普通
CUST_684991,承德市,27,女,普通
CUST_790086,宜宾市,35,男,普通
CUST_168679,长沙市,39,女,普通
CUST_478901,内江市,133,男,会员
CUST_320339,日照市,35,女,普通
CUST_802029,合川区,33,女,普通
CUST_194437,未知,28,男,普通
CUST_127913,未知,37,女,会员
CUST_473636,杭州市,39,男,普通
