用户ID,总行为次数,浏览商品数,活跃天数,首次行为月份,最后行为月份,平均行为小时,加购_次数,收藏_次数,浏览_次数,购买_次数,购买次数,总消费金额,客单价,购买商品种类数,偏好商品类型,年龄,性别,权益,用户所在地,浏览到收藏转化率,收藏到加购转化率,加购到购买转化率,整体转化率,R_最近购买天数,R_最近购买天数_分,购买次数_分,总消费金额_分,RFM总分,用户分层,年龄段
CUST_100424,112,66,105,1,12,0.0,24,28,45,15,15.0,9309.83,620.6553333333334,15.0,电子产品,27,男,普通,平顶山市,0.6222222222222222,0.8571428571428571,0.625,0.3333333333333333,27.0,3,3,3,3,低频用户,20-30
CUST_100460,57,45,54,1,12,0.0,17,14,21,5,5.0,5004.29,1000.858,5.0,电子产品,48,男,普通,静海区,0.6666666666666666,1.2142857142857142,0.29411764705882354,0.23809523809523808,33.0,3,1,1,-1,沉睡用户,40-50
CUST_100515,104,67,95,1,12,0.0,17,37,35,15,15.0,8036.76,535.784,11.0,服装,40,女,普通,吉林市,1.0571428571428572,0.4594594594594595,0.8823529411764706,0.42857142857142855,1.0,1,3,2,4,低频用户,30-40
CUST_100590,114,72,102,1,12,0.0,26,27,45,16,16.0,13580.880000000001,848.8050000000001,15.0,电子产品,8,男,会员,常德市,0.6,0.9629629629629629,0.6153846153846154,0.35555555555555557,56.0,4,3,4,3,低频用户,<20
CUST_100596,125,70,111,1,12,0.0,26,38,40,21,18.0,11408.210000000001,633.7894444444445,17.0,化妆品,37,女,会员,东营市,0.95,0.6842105263157895,0.8076923076923077,0.525,29.0,3,4,3,4,低频用户,30-40
CUST_100648,109,60,101,1,12,0.0,24,40,33,12,12.0,7197.54,599.795,10.0,电子产品,29,男,普通,抚顺市,1.2121212121212122,0.6,0.5,0.36363636363636365,36.0,3,2,2,1,沉睡用户,20-30
CUST_100664,140,78,126,1,12,0.0,31,36,50,23,21.0,14140.539999999999,673.3590476190476,23.0,宠物用品,34,女,会员,湾仔区,0.72,0.8611111111111112,0.7419354838709677,0.46,8.0,1,5,4,8,普通用户,30-40
CUST_100721,88,61,84,1,12,0.0,19,29,29,11,11.0,7871.6,715.6,11.0,运动器材,51,男,会员,枣庄市,1.0,0.6551724137931034,0.5789473684210527,0.3793103448275862,18.0,2,2,2,2,沉睡用户,50-60
CUST_100726,98,65,87,1,12,0.0,29,26,33,10,10.0,6280.5,628.05,10.0,食品,54,女,会员,黄浦区,0.7878787878787878,1.1153846153846154,0.3448275862068966,0.30303030303030304,24.0,3,2,2,1,沉睡用户,50-60
CUST_100745,161,90,145,1,12,0.0,33,41,71,16,16.0,9986.74,624.17125,15.0,家具,31,男,会员,静海区,0.5774647887323944,0.8048780487804879,0.48484848484848486,0.22535211267605634,26.0,3,3,3,3,低频用户,30-40
CUST_100811,99,60,93,1,12,0.0,16,31,45,7,7.0,6560.9400000000005,937.277142857143,7.0,服装,41,女,会员,石嘴山市,0.6888888888888889,0.5161290322580645,0.4375,0.15555555555555556,51.0,4,1,2,-1,沉睡用户,40-50
CUST_101106,45,36,45,1,12,0.0,15,14,12,4,4.0,2810.29,702.5725,4.0,家用电器,50,女,普通,驻马店市,1.1666666666666667,1.0714285714285714,0.26666666666666666,0.3333333333333333,22.0,3,1,1,-1,沉睡用户,40-50
CUST_101123,147,78,134,1,12,0.0,32,46,49,20,20.0,15389.65,769.4825,20.0,电子产品,28,男,会员,连云港市,0.9387755102040817,0.6956521739130435,0.625,0.40816326530612246,22.0,3,4,5,6,普通用户,20-30
CUST_101160,143,76,132,1,12,0.0,31,33,60,19,17.0,11221.63,660.0958823529411,18.0,服装,24,女,会员,山南市,0.55,0.9393939393939394,0.6129032258064516,0.31666666666666665,119.0,5,4,3,2,沉睡用户,20-30
CUST_101169,87,61,83,1,12,0.0,17,27,35,8,8.0,5625.48,703.185,8.0,化妆品,28,女,普通,鄂尔多斯市,0.7714285714285715,0.6296296296296297,0.47058823529411764,0.22857142857142856,27.0,3,1,1,-1,沉睡用户,20-30
CUST_101178,117,83,106,1,12,0.0,29,33,40,15,15.0,10476.130000000001,698.4086666666667,15.0,汽车配件,36,男,普通,定西市,0.825,0.8787878787878788,0.5172413793103449,0.375,88.0,5,3,3,1,沉睡用户,30-40
CUST_101267,42,35,42,1,12,0.0,9,14,15,4,4.0,2194.6400000000003,548.6600000000001,4.0,书籍,42,男,普通,漳州市,0.9333333333333333,0.6428571428571429,0.4444444444444444,0.26666666666666666,74.0,4,1,1,-2,沉睡用户,40-50
CUST_101303,138,78,124,1,12,0.0,31,30,52,25,25.0,17444.34,697.7736,23.0,化妆品,24,女,会员,奉贤区,0.5769230769230769,1.0333333333333334,0.8064516129032258,0.4807692307692308,68.0,4,5,5,6,普通用户,20-30
CUST_101392,128,75,118,1,12,0.0,32,29,52,15,15.0,12830.43,855.362,14.0,汽车配件,33,男,会员,济源市,0.5576923076923077,1.103448275862069,0.46875,0.28846153846153844,23.0,3,3,4,4,低频用户,30-40
CUST_101430,103,67,98,1,12,0.0,20,25,42,16,15.0,8887.16,592.4773333333334,16.0,化妆品,48,女,会员,江北区,0.5952380952380952,0.8,0.8,0.38095238095238093,15.0,2,3,2,3,低频用户,40-50
CUST_101439,100,66,96,1,12,0.0,21,33,35,11,11.0,8390.18,762.7436363636364,11.0,化妆品,13,女,会员,宝鸡市,0.9428571428571428,0.6363636363636364,0.5238095238095238,0.3142857142857143,127.0,5,2,2,-1,沉睡用户,<20
CUST_101461,79,51,72,1,12,0.0,11,18,36,14,14.0,10791.380000000001,770.8128571428572,13.0,宠物用品,52,女,会员,未知,0.5,0.6111111111111112,1.2727272727272727,0.3888888888888889,30.0,3,3,3,3,低频用户,50-60
CUST_101462,98,72,93,1,12,0.0,26,25,39,8,8.0,5703.35,712.91875,6.0,健身器材,23,女,普通,渝北区,0.6410256410256411,1.04,0.3076923076923077,0.20512820512820512,29.0,3,1,1,-1,沉睡用户,20-30
CUST_101511,34,30,34,1,12,0.0,5,5,20,4,4.0,3512.69,878.1725,4.0,化妆品,50,女,普通,景德镇市,0.25,1.0,0.8,0.2,353.0,5,1,1,-3,沉睡用户,40-50
CUST_101514,160,79,145,1,12,0.0,35,41,59,25,25.0,18875.670000000002,755.0268000000001,22.0,电子产品,35,男,会员,津南区,0.6949152542372882,0.8536585365853658,0.7142857142857143,0.423728813559322,67.0,4,5,5,6,普通用户,30-40
CUST_101549,151,77,141,1,12,0.0,27,44,59,21,21.0,15377.72,732.2723809523809,18.0,服装,35,女,会员,葫芦岛市,0.7457627118644068,0.6136363636363636,0.7777777777777778,0.3559322033898305,4.0,1,5,5,9,活跃用户,30-40
CUST_101573,95,60,85,1,12,0.0,20,28,40,7,7.0,5592.07,798.8671428571428,7.0,运动器材,44,男,会员,嘉定区,0.7,0.7142857142857143,0.35,0.175,8.0,1,1,1,1,沉睡用户,40-50
CUST_101791,103,66,96,1,12,0.0,19,33,32,19,18.0,13062.28,725.6822222222222,17.0,电子产品,30,男,普通,新竹市,1.03125,0.5757575757575758,1.0,0.59375,23.0,3,4,4,5,低频用户,20-30
CUST_101927,109,65,99,1,12,0.0,21,26,42,20,20.0,17762.35,888.1175,16.0,服装,37,女,普通,临高县,0.6190476190476191,0.8076923076923077,0.9523809523809523,0.47619047619047616,106.0,5,4,5,4,低频用户,30-40
CUST_101943,100,57,95,1,12,0.0,30,22,35,13,13.0,11305.82,869.6784615384615,12.0,电子产品,38,男,普通,贺州市,0.6285714285714286,1.3636363636363635,0.43333333333333335,0.37142857142857144,43.0,4,3,3,2,沉睡用户,30-40
CUST_102008,47,37,46,1,12,0.0,13,12,20,2,1.0,979.89,979.89,2.0,宠物用品,43,男,普通,通州区,0.6,1.0833333333333333,0.15384615384615385,0.1,472.0,5,1,1,-3,沉睡用户,40-50
CUST_102019,103,64,95,1,12,0.0,23,31,30,19,17.0,12936.16,760.9505882352942,18.0,食品,17,女,会员,临汾市,1.0333333333333334,0.7419354838709677,0.8260869565217391,0.6333333333333333,18.0,2,4,4,6,普通用户,<20
CUST_102023,45,35,44,1,12,0.0,8,14,18,5,5.0,4743.08,948.616,5.0,电子产品,51,男,普通,崇明区,0.7777777777777778,0.5714285714285714,0.625,0.2777777777777778,11.0,2,1,1,0,沉睡用户,50-60
CUST_102036,105,67,96,1,12,0.0,22,24,39,20,19.0,17164.97,903.4194736842106,19.0,电子产品,39,男,普通,河池市,0.6153846153846154,0.9166666666666666,0.9090909090909091,0.5128205128205128,3.0,1,4,5,8,普通用户,30-40
CUST_102254,142,83,127,1,12,0.0,30,36,54,22,22.0,14393.34,654.2427272727273,21.0,健身器材,38,男,会员,梅州市,0.6666666666666666,0.8333333333333334,0.7333333333333333,0.4074074074074074,10.0,2,5,4,7,普通用户,30-40
CUST_102276,109,69,100,1,12,0.0,26,33,39,11,10.0,6798.39,679.839,11.0,书籍,39,女,普通,海淀区,0.8461538461538461,0.7878787878787878,0.4230769230769231,0.28205128205128205,44.0,4,2,2,0,沉睡用户,30-40
CUST_102501,145,84,129,1,12,0.0,32,42,46,25,25.0,20046.53,801.8611999999999,24.0,汽车配件,36,男,会员,怀柔区,0.9130434782608695,0.7619047619047619,0.78125,0.5434782608695652,15.0,2,5,5,8,普通用户,30-40
CUST_102532,45,36,44,1,12,0.0,6,17,17,5,5.0,3724.54,744.908,5.0,电子产品,48,男,普通,孝感市,1.0,0.35294117647058826,0.8333333333333334,0.29411764705882354,28.0,3,1,1,-1,沉睡用户,40-50
CUST_102544,92,62,86,1,12,0.0,15,26,41,10,10.0,5103.32,510.332,8.0,珠宝首饰,36,女,普通,揭阳市,0.6341463414634146,0.5769230769230769,0.6666666666666666,0.24390243902439024,83.0,5,2,1,-2,沉睡用户,30-40
CUST_102545,87,61,81,1,12,0.0,25,19,31,12,12.0,9502.93,791.9108333333334,11.0,电子产品,50,男,会员,南宁市,0.6129032258064516,1.3157894736842106,0.48,0.3870967741935484,34.0,3,2,3,2,沉睡用户,40-50
CUST_102554,47,38,47,1,12,0.0,8,15,14,10,10.0,5901.65,590.165,10.0,宠物用品,43,女,普通,陵水黎族自治县,1.0714285714285714,0.5333333333333333,1.25,0.7142857142857143,100.0,5,2,1,-2,沉睡用户,40-50
CUST_102645,148,86,136,1,12,0.0,31,39,52,26,26.0,19252.96,740.4984615384615,24.0,运动器材,33,男,会员,柳州市,0.75,0.7948717948717948,0.8387096774193549,0.5,1.0,1,5,5,9,活跃用户,30-40
CUST_102656,92,62,85,1,12,0.0,19,28,30,15,15.0,10693.89,712.9259999999999,14.0,运动器材,19,男,会员,淄博市,0.9333333333333333,0.6785714285714286,0.7894736842105263,0.5,76.0,4,3,3,2,沉睡用户,<20
CUST_102660,47,36,46,1,12,0.0,9,16,16,6,6.0,3026.38,504.3966666666667,6.0,珠宝首饰,41,女,普通,抚顺市,1.0,0.5625,0.6666666666666666,0.375,30.0,3,1,1,-1,沉睡用户,40-50
CUST_102670,105,65,100,1,12,0.0,24,28,32,21,21.0,14287.47,680.3557142857143,18.0,化妆品,39,女,普通,屯昌县,0.875,0.8571428571428571,0.875,0.65625,4.0,1,5,4,8,普通用户,30-40
CUST_102680,101,66,95,1,12,0.0,15,29,38,19,19.0,12798.949999999999,673.628947368421,15.0,宠物用品,27,女,普通,娄底市,0.7631578947368421,0.5172413793103449,1.2666666666666666,0.5,15.0,2,4,4,6,普通用户,20-30
CUST_102770,110,65,102,1,12,0.0,25,36,37,12,12.0,9227.63,768.9691666666666,11.0,珠宝首饰,42,女,会员,阿拉善盟,0.972972972972973,0.6944444444444444,0.48,0.32432432432432434,129.0,5,2,3,0,沉睡用户,40-50
CUST_102803,159,83,138,1,12,0.0,37,43,57,22,22.0,15526.42,705.7463636363636,19.0,宠物用品,24,女,会员,潮州市,0.7543859649122807,0.8604651162790697,0.5945945945945946,0.38596491228070173,21.0,2,5,5,8,普通用户,20-30
CUST_102840,48,41,44,1,12,0.0,10,9,25,4,4.0,3736.1099999999997,934.0274999999999,4.0,乐器,50,男,普通,新乡市,0.36,1.1111111111111112,0.4,0.16,286.0,5,1,1,-3,沉睡用户,40-50
CUST_102854,134,75,120,1,12,0.0,33,39,52,10,10.0,8540.19,854.019,10.0,服装,30,女,普通,湾仔区,0.75,0.8461538461538461,0.30303030303030304,0.19230769230769232,5.0,1,2,2,3,低频用户,20-30
CUST_102950,155,81,134,1,12,0.0,36,46,55,18,18.0,11987.24,665.9577777777778,18.0,汽车配件,40,男,会员,沧州市,0.8363636363636363,0.782608695652174,0.5,0.32727272727272727,26.0,3,4,4,5,低频用户,30-40
CUST_103033,107,58,99,1,12,0.0,21,31,41,14,14.0,10461.75,747.2678571428571,14.0,汽车配件,48,男,会员,圣安多尼堂区,0.7560975609756098,0.6774193548387096,0.6666666666666666,0.34146341463414637,12.0,2,3,3,4,低频用户,40-50
CUST_103144,110,65,104,1,12,0.0,21,35,33,21,21.0,13828.7,658.5095238095239,18.0,电子产品,35,男,普通,邯郸市,1.0606060606060606,0.6,1.0,0.6363636363636364,1.0,1,5,4,8,普通用户,30-40
CUST_103157,108,59,99,1,12,0.0,32,28,37,11,11.0,7980.38,725.4890909090909,11.0,化妆品,57,女,会员,红桥区,0.7567567567567568,1.1428571428571428,0.34375,0.2972972972972973,23.0,3,2,2,1,沉睡用户,50-60
CUST_103271,109,72,101,1,12,0.0,19,34,45,11,11.0,7637.1,694.2818181818183,11.0,食品,51,女,会员,济南市,0.7555555555555555,0.5588235294117647,0.5789473684210527,0.24444444444444444,14.0,2,2,2,2,沉睡用户,50-60
CUST_103317,159,92,145,1,12,0.0,45,41,56,17,17.0,13843.74,814.3376470588236,16.0,电子产品,37,男,会员,长沙市,0.7321428571428571,1.0975609756097562,0.37777777777777777,0.30357142857142855,83.0,5,4,4,3,低频用户,30-40
CUST_103326,106,73,93,1,12,0.0,19,30,41,16,16.0,13468.83,841.801875,16.0,电子产品,23,男,普通,黄南藏族自治州,0.7317073170731707,0.6333333333333333,0.8421052631578947,0.3902439024390244,15.0,2,3,4,5,低频用户,20-30
CUST_103425,104,65,95,1,12,0.0,33,27,28,16,16.0,11786.99,736.686875,15.0,电子产品,34,男,普通,湖州市,0.9642857142857143,1.2222222222222223,0.48484848484848486,0.5714285714285714,100.0,5,3,4,2,沉睡用户,30-40
CUST_103426,86,58,82,1,12,0.0,21,21,34,10,10.0,6883.6,688.36,10.0,服装,39,女,普通,漳州市,0.6176470588235294,1.0,0.47619047619047616,0.29411764705882354,76.0,4,2,2,0,沉睡用户,30-40
CUST_103593,152,86,133,1,12,0.0,37,44,51,20,20.0,16334.1,816.705,19.0,电子产品,35,男,会员,南开区,0.8627450980392157,0.8409090909090909,0.5405405405405406,0.39215686274509803,9.0,2,4,5,7,普通用户,30-40
CUST_103642,35,29,34,1,12,0.0,9,6,13,7,6.0,3998.11,666.3516666666667,7.0,化妆品,43,女,普通,阜新市,0.46153846153846156,1.5,0.7777777777777778,0.5384615384615384,114.0,5,1,1,-3,沉睡用户,40-50
CUST_103692,47,38,45,1,12,0.0,9,15,16,7,7.0,4531.83,647.4042857142857,7.0,食品,42,女,普通,遵义市,0.9375,0.6,0.7777777777777778,0.4375,59.0,4,1,1,-2,沉睡用户,40-50
CUST_103695,138,78,124,1,12,0.0,31,35,49,23,22.0,12353.15,561.5068181818182,20.0,服装,39,女,会员,喀什市,0.7142857142857143,0.8857142857142857,0.7419354838709677,0.46938775510204084,47.0,4,5,4,5,低频用户,30-40
CUST_103707,102,61,99,1,12,0.0,21,34,35,12,12.0,9475.89,789.6574999999999,11.0,电子产品,32,男,普通,晋中市,0.9714285714285714,0.6176470588235294,0.5714285714285714,0.34285714285714286,9.0,2,2,3,3,低频用户,30-40
CUST_103780,142,78,125,1,12,0.0,33,39,56,14,14.0,10375.27,741.0907142857143,12.0,汽车配件,33,男,会员,百色市,0.6964285714285714,0.8461538461538461,0.42424242424242425,0.25,51.0,4,3,3,2,沉睡用户,30-40
CUST_103804,100,66,95,1,12,0.0,16,33,35,16,16.0,12848.35,803.021875,14.0,宠物用品,39,女,普通,儋州市,0.9428571428571428,0.48484848484848486,1.0,0.45714285714285713,1.0,1,3,4,6,普通用户,30-40
CUST_103870,83,56,78,1,12,0.0,23,19,26,15,15.0,12035.26,802.3506666666667,15.0,运动器材,48,男,会员,三明市,0.7307692307692307,1.2105263157894737,0.6521739130434783,0.5769230769230769,23.0,3,3,4,4,低频用户,40-50
CUST_103901,41,32,41,1,12,0.0,5,13,13,10,9.0,6764.15,751.5722222222222,9.0,玩具,12,男,普通,六盘水市,1.0,0.38461538461538464,2.0,0.7692307692307693,74.0,4,1,2,-1,沉睡用户,<20
CUST_103907,51,40,49,1,12,0.0,18,9,18,6,5.0,3195.26,639.052,6.0,珠宝首饰,43,女,普通,河源市,0.5,2.0,0.3333333333333333,0.3333333333333333,175.0,5,1,1,-3,沉睡用户,40-50
CUST_103955,92,64,81,1,12,0.0,21,16,39,16,16.0,11639.71,727.481875,14.0,运动器材,41,男,会员,信阳市,0.41025641025641024,1.3125,0.7619047619047619,0.41025641025641024,4.0,1,3,4,6,普通用户,40-50
CUST_104037,111,68,100,1,12,0.0,27,23,40,21,21.0,16076.130000000001,765.5300000000001,19.0,化妆品,35,男,普通,辽源市,0.575,1.173913043478261,0.7777777777777778,0.525,30.0,3,5,5,7,普通用户,30-40
CUST_104064,151,84,133,1,12,0.0,35,38,59,19,19.0,15570.53,819.5015789473684,17.0,玩具,32,男,会员,忻州市,0.6440677966101694,0.9210526315789473,0.5428571428571428,0.3220338983050847,22.0,3,4,5,6,普通用户,30-40
CUST_104093,106,63,97,1,12,0.0,18,38,36,14,14.0,9474.61,676.7578571428572,11.0,运动器材,39,男,普通,未知,1.0555555555555556,0.47368421052631576,0.7777777777777778,0.3888888888888889,30.0,3,3,3,3,低频用户,30-40
CUST_104105,154,82,133,1,12,0.0,48,38,52,16,16.0,11760.68,735.0425,16.0,服装,32,女,会员,盘锦市,0.7307692307692307,1.263157894736842,0.3333333333333333,0.3076923076923077,30.0,3,3,4,4,低频用户,30-40
CUST_104127,49,36,48,1,12,0.0,9,10,18,12,12.0,9227.54,768.9616666666667,12.0,运动器材,47,男,普通,嘉模堂区,0.5555555555555556,0.9,1.3333333333333333,0.6666666666666666,10.0,2,2,3,3,低频用户,40-50
CUST_104187,57,43,52,1,12,0.0,9,16,28,4,4.0,2274.63,568.6575,4.0,化妆品,41,女,普通,宝山区,0.5714285714285714,0.5625,0.4444444444444444,0.14285714285714285,141.0,5,1,1,-3,沉睡用户,40-50
CUST_104214,167,90,143,1,12,0.0,36,46,63,22,21.0,16374.26,779.7266666666667,19.0,服装,38,女,会员,海淀区,0.7301587301587301,0.782608695652174,0.6111111111111112,0.3492063492063492,27.0,3,5,5,7,普通用户,30-40
CUST_104216,114,74,103,1,12,0.0,15,34,40,25,25.0,19984.43,799.3772,20.0,服装,36,女,普通,海北藏族自治州,0.85,0.4411764705882353,1.6666666666666667,0.625,49.0,4,5,5,6,普通用户,30-40
CUST_104545,49,36,49,1,12,0.0,13,13,17,6,5.0,4144.51,828.902,6.0,服装,50,女,普通,南平市,0.7647058823529411,1.0,0.46153846153846156,0.35294117647058826,149.0,5,1,1,-3,沉睡用户,40-50
CUST_104633,109,70,100,1,12,0.0,25,27,41,16,15.0,11866.6,791.1066666666667,15.0,化妆品,34,女,普通,黄大仙区,0.6585365853658537,0.9259259259259259,0.64,0.3902439024390244,55.0,4,3,4,3,低频用户,30-40
CUST_104639,114,64,108,1,12,0.0,21,34,44,15,15.0,10063.79,670.9193333333334,12.0,服装,25,女,普通,万宁市,0.7727272727272727,0.6176470588235294,0.7142857142857143,0.3409090909090909,21.0,2,3,3,4,低频用户,20-30
CUST_104714,55,44,53,1,12,0.0,10,20,19,6,6.0,5291.35,881.8916666666668,6.0,服装,42,女,普通,江门市,1.0526315789473684,0.5,0.6,0.3157894736842105,103.0,5,1,1,-3,沉睡用户,40-50
CUST_104762,96,62,90,1,12,0.0,19,28,34,15,15.0,10344.45,689.63,11.0,健身器材,47,男,会员,合川区,0.8235294117647058,0.6785714285714286,0.7894736842105263,0.4411764705882353,16.0,2,3,3,4,低频用户,40-50
CUST_104802,118,73,108,1,12,0.0,17,34,43,24,22.0,15814.41,718.8368181818182,20.0,健身器材,25,女,会员,吴忠市,0.7906976744186046,0.5,1.411764705882353,0.5581395348837209,32.0,3,5,5,7,普通用户,20-30
CUST_104811,103,71,97,1,12,0.0,26,33,32,12,12.0,8323.92,693.66,12.0,宠物用品,36,女,普通,北辰区,1.03125,0.7878787878787878,0.46153846153846156,0.375,6.0,1,2,2,3,低频用户,30-40
CUST_104822,106,71,92,1,12,0.0,27,30,37,12,11.0,9205.18,836.8345454545455,12.0,化妆品,33,女,普通,汕头市,0.8108108108108109,0.9,0.4444444444444444,0.32432432432432434,9.0,2,2,3,3,低频用户,30-40
CUST_104996,53,39,52,1,12,0.0,12,14,19,8,8.0,4755.89,594.48625,8.0,电子产品,56,男,普通,大足区,0.7368421052631579,0.8571428571428571,0.6666666666666666,0.42105263157894735,21.0,2,1,1,0,沉睡用户,50-60
CUST_105037,102,66,96,1,12,0.0,19,29,38,16,16.0,10348.95,646.809375,16.0,化妆品,47,女,会员,淄博市,0.7631578947368421,0.6551724137931034,0.8421052631578947,0.42105263157894735,100.0,5,3,3,1,沉睡用户,40-50
CUST_105072,46,39,43,1,12,0.0,13,6,18,9,9.0,7420.0,824.4444444444445,9.0,健身器材,43,男,普通,蓟州区,0.3333333333333333,2.1666666666666665,0.6923076923076923,0.5,43.0,4,1,2,-1,沉睡用户,40-50
CUST_105074,131,74,119,1,12,0.0,23,38,48,22,22.0,18130.88,824.1309090909091,21.0,化妆品,32,女,会员,漳州市,0.7916666666666666,0.6052631578947368,0.9565217391304348,0.4583333333333333,79.0,5,5,5,5,低频用户,30-40
CUST_105100,109,68,99,1,12,0.0,31,42,21,15,15.0,12273.04,818.2026666666667,13.0,文具,31,女,普通,邵阳市,2.0,0.7380952380952381,0.4838709677419355,0.7142857142857143,5.0,1,3,4,6,普通用户,30-40
CUST_105111,104,63,95,1,12,0.0,20,25,35,24,24.0,18732.96,780.54,22.0,化妆品,41,女,会员,长春市,0.7142857142857143,0.8,1.2,0.6857142857142857,17.0,2,5,5,8,普通用户,40-50
CUST_105156,135,86,121,1,12,0.0,28,43,46,18,17.0,13477.7,792.8058823529412,17.0,家用电器,30,,会员,屯门区,0.9347826086956522,0.6511627906976745,0.6428571428571429,0.391304347826087,33.0,3,4,4,5,低频用户,20-30
CUST_105175,150,82,133,1,12,0.0,27,44,65,14,14.0,10000.82,714.3442857142857,14.0,电子产品,34,男,会员,秦皇岛市,0.676923076923077,0.6136363636363636,0.5185185185185185,0.2153846153846154,9.0,2,3,3,4,低频用户,30-40
CUST_105181,162,82,142,1,12,0.0,36,50,53,23,23.0,20031.99,870.9560869565219,19.0,化妆品,38,女,会员,秦皇岛市,0.9433962264150944,0.72,0.6388888888888888,0.4339622641509434,10.0,2,5,5,8,普通用户,30-40
CUST_105260,116,70,107,1,12,0.0,25,26,50,15,15.0,12700.39,846.6926666666666,14.0,汽车配件,46,男,会员,西安市,0.52,0.9615384615384616,0.6,0.3,15.0,2,3,4,5,低频用户,40-50
CUST_105295,137,72,125,1,12,0.0,20,45,48,24,23.0,17309.46,752.5852173913044,21.0,化妆品,48,女,会员,静海区,0.9375,0.4444444444444444,1.2,0.5,23.0,3,5,5,7,普通用户,40-50
CUST_105341,164,92,140,1,12,0.0,42,44,55,23,20.0,15412.69,770.6345,20.0,汽车配件,39,男,会员,望德堂区,0.8,0.9545454545454546,0.5476190476190477,0.41818181818181815,18.0,2,4,5,7,普通用户,30-40
CUST_105386,77,56,74,1,12,0.0,11,26,29,11,11.0,8622.78,783.889090909091,10.0,汽车配件,47,男,会员,铜川市,0.896551724137931,0.4230769230769231,1.0,0.3793103448275862,22.0,3,2,2,1,沉睡用户,40-50
CUST_105453,158,80,139,1,12,0.0,36,45,55,22,22.0,14111.22,641.4190909090909,21.0,电子产品,29,男,会员,长治市,0.8181818181818182,0.8,0.6111111111111112,0.4,17.0,2,5,4,7,普通用户,20-30
CUST_105466,87,63,81,1,12,0.0,17,18,37,15,15.0,10596.21,706.414,14.0,服装,36,女,普通,锦州市,0.4864864864864865,0.9444444444444444,0.8823529411764706,0.40540540540540543,22.0,3,3,3,3,低频用户,30-40
